No.,Date,Time,Header,Data,Unit
1,2024/12/6,15:45:40,US,0.0,g
2,2024/12/6,15:45:41,ST,0.0,g
3,2024/12/6,15:45:42,ST,0.0,g
4,2024/12/6,15:45:43,US,0.47,g
5,2024/12/6,15:45:44,US,1.164,g
6,2024/12/6,15:45:45,US,1.851,g
7,2024/12/6,15:45:46,US,2.661,g
8,2024/12/6,15:45:47,US,3.329,g
9,2024/12/6,15:45:48,US,3.99,g
10,2024/12/6,15:45:49,US,4.643,g
11,2024/12/6,15:45:50,US,5.418,g
12,2024/12/6,15:45:51,US,6.055,g
13,2024/12/6,15:45:52,US,6.684,g
14,2024/12/6,15:45:53,US,7.305,g
15,2024/12/6,15:45:54,US,7.918,g
16,2024/12/6,15:45:55,US,8.644,g
17,2024/12/6,15:45:56,US,9.242,g
18,2024/12/6,15:45:57,US,9.832,g
19,2024/12/6,15:45:58,US,10.414,g
20,2024/12/6,15:45:59,US,11.102,g
21,2024/12/6,15:46:00,US,11.668,g
22,2024/12/6,15:46:01,US,12.225,g
23,2024/12/6,15:46:02,US,12.636,g
24,2024/12/6,15:46:03,US,12.954,g
25,2024/12/6,15:46:04,US,13.123,g
26,2024/12/6,15:46:05,ST,13.123,g
27,2024/12/6,15:46:06,ST,13.123,g
28,2024/12/6,15:46:07,ST,13.123,g
29,2024/12/6,15:46:08,US,13.123,g
30,2024/12/6,15:46:09,US,13.123,g
31,2024/12/6,15:46:10,US,13.123,g
32,2024/12/6,15:46:11,US,13.123,g
33,2024/12/6,15:46:12,US,13.123,g
34,2024/12/6,15:46:13,ST,13.123,g
35,2024/12/6,15:46:14,ST,13.123,g
36,2024/12/6,15:46:15,US,13.123,g
37,2024/12/6,15:46:16,US,13.321,g
38,2024/12/6,15:46:17,US,13.321,g
39,2024/12/6,15:46:18,US,13.321,g
40,2024/12/6,15:46:19,US,13.321,g
41,2024/12/6,15:46:20,US,13.321,g
42,2024/12/6,15:46:21,US,13.321,g
43,2024/12/6,15:46:22,ST,13.434,g
44,2024/12/6,15:46:23,ST,13.435,g
45,2024/12/6,15:46:24,ST,13.435,g
46,2024/12/6,15:46:25,US,13.444,g
47,2024/12/6,15:46:26,US,13.565,g
48,2024/12/6,15:46:27,US,13.565,g
49,2024/12/6,15:46:28,US,13.565,g
50,2024/12/6,15:46:29,US,13.565,g
51,2024/12/6,15:46:30,US,13.565,g
52,2024/12/6,15:46:31,US,13.565,g
53,2024/12/6,15:46:32,US,13.576,g
54,2024/12/6,15:46:33,US,13.602,g
55,2024/12/6,15:46:34,US,13.602,g
56,2024/12/6,15:46:35,US,13.602,g
57,2024/12/6,15:46:36,US,13.602,g
58,2024/12/6,15:46:37,ST,13.672,g
59,2024/12/6,15:46:38,US,13.672,g
60,2024/12/6,15:46:39,US,13.672,g
61,2024/12/6,15:46:40,US,13.672,g
62,2024/12/6,15:46:41,US,13.672,g
63,2024/12/6,15:46:42,ST,13.76,g
64,2024/12/6,15:46:43,US,13.772,g
65,2024/12/6,15:46:44,US,13.772,g
66,2024/12/6,15:46:45,US,13.772,g
67,2024/12/6,15:46:46,US,13.772,g
68,2024/12/6,15:46:47,ST,13.803,g
69,2024/12/6,15:46:48,ST,13.803,g
70,2024/12/6,15:46:49,US,13.835,g
71,2024/12/6,15:46:50,US,13.835,g
72,2024/12/6,15:46:51,US,13.835,g
73,2024/12/6,15:46:52,US,13.835,g
74,2024/12/6,15:46:53,ST,13.853,g
75,2024/12/6,15:46:54,US,13.853,g
76,2024/12/6,15:46:55,US,13.853,g
77,2024/12/6,15:46:56,US,13.853,g
78,2024/12/6,15:46:57,US,13.853,g
79,2024/12/6,15:46:58,ST,13.934,g
80,2024/12/6,15:46:59,ST,13.934,g
81,2024/12/6,15:47:00,US,13.934,g
82,2024/12/6,15:47:01,US,13.934,g
83,2024/12/6,15:47:02,US,13.934,g
84,2024/12/6,15:47:03,US,13.934,g
85,2024/12/6,15:47:04,ST,14.034,g
86,2024/12/6,15:47:05,ST,14.034,g
87,2024/12/6,15:47:06,US,14.061,g
88,2024/12/6,15:47:07,US,14.061,g
89,2024/12/6,15:47:08,US,14.061,g
90,2024/12/6,15:47:09,US,14.061,g
91,2024/12/6,15:47:10,US,14.061,g
92,2024/12/6,15:47:11,ST,14.077,g
93,2024/12/6,15:47:12,ST,14.077,g
94,2024/12/6,15:47:13,US,14.102,g
95,2024/12/6,15:47:14,US,14.102,g
96,2024/12/6,15:47:15,ST,14.102,g
97,2024/12/6,15:47:16,ST,14.102,g
98,2024/12/6,15:47:17,ST,14.102,g
99,2024/12/6,15:47:18,ST,14.102,g
100,2024/12/6,15:47:19,ST,14.102,g
101,2024/12/6,15:47:20,ST,14.102,g
102,2024/12/6,15:47:21,ST,14.102,g
103,2024/12/6,15:47:22,ST,14.102,g
104,2024/12/6,15:47:23,US,14.102,g
105,2024/12/6,15:47:24,US,14.153,g
