No.,Date,Time,Header,Data,Unit
1,2024/12/5,13:33:16,ST,0.026,g
2,2024/12/5,13:33:17,ST,0.025,g
3,2024/12/5,13:33:18,ST,0.025,g
4,2024/12/5,13:33:19,ST,0.025,g
5,2024/12/5,13:33:21,ST,0.0,g
6,2024/12/5,13:33:22,ST,0.0,g
7,2024/12/5,13:33:23,ST,0.0,g
8,2024/12/5,13:33:24,ST,0.0,g
9,2024/12/5,13:33:25,ST,0.0,g
10,2024/12/5,13:33:26,US,1.559,g
11,2024/12/5,13:33:27,US,3.196,g
12,2024/12/5,13:33:28,US,4.511,g
13,2024/12/5,13:33:29,US,5.913,g
14,2024/12/5,13:33:30,US,7.46,g
15,2024/12/5,13:33:31,US,8.712,g
16,2024/12/5,13:33:32,US,9.663,g
17,2024/12/5,13:33:33,US,9.817,g
18,2024/12/5,13:33:35,ST,9.815,g
19,2024/12/5,13:33:35,ST,9.815,g
20,2024/12/5,13:33:36,ST,9.815,g
