No.,Date,Time,Header,Data,Unit,,,,,
1,2024/7/24,15:15:20,US,-0.007,g,,,,,
2,2024/7/24,15:15:21,US,-0.009,g,,,,,
3,2024/7/24,15:15:22,US,-0.006,g,,,,,
4,2024/7/24,15:15:22,US,0.023,g,,,,,
5,2024/7/24,15:15:24,US,0.005,g,,,,,
6,2024/7/24,15:15:25,US,-0.002,g,,,,,
7,2024/7/24,15:15:26,US,-0.001,g,,,,,
8,2024/7/24,15:15:27,ST,0,g,,,,,
9,2024/7/24,15:15:27,US,0.02,g,,,,,
10,2024/7/24,15:15:29,US,0.018,g,,,,,
11,2024/7/24,15:15:30,US,0.003,g,,,,,
12,2024/7/24,15:15:31,US,0.193,g,,,,,
13,2024/7/24,15:15:31,US,0.926,g,,,,,
14,2024/7/24,15:15:33,US,1.762,g,,,,,
15,2024/7/24,15:15:34,US,2.426,g,,,,,
16,2024/7/24,15:15:35,US,3.077,g,,,,,
17,2024/7/24,15:15:36,US,3.751,g,,,,,
18,2024/7/24,15:15:36,US,4.402,g,,,,,
19,2024/7/24,15:15:38,US,5.187,g,,,,,
20,2024/7/24,15:15:39,US,5.806,g,,,,,
21,2024/7/24,15:15:40,US,6.41,g,,,,,
22,2024/7/24,15:15:40,US,7.045,g,,,,,
23,2024/7/24,15:15:42,US,7.781,g,,,,,
24,2024/7/24,15:15:43,US,8.389,g,,,,,
25,2024/7/24,15:15:44,US,8.969,g,,,,,
26,2024/7/24,15:15:45,US,9.561,g,,,,,
27,2024/7/24,15:15:45,US,10.146,g,,,,,
28,2024/7/24,15:15:47,US,10.732,g,,,,,
29,2024/7/24,15:15:48,US,10.684,g,,,,,
30,2024/7/24,15:15:49,US,-108.114,g,,,,,
31,2024/7/24,15:15:50,US,-118.135,g,,,,,
32,2024/7/24,15:15:51,US,-87.876,g,,,,,
33,2024/7/24,15:15:52,US,10.664,g,,,,,
34,2024/7/24,15:15:53,US,10.648,g,,,,,
35,2024/7/24,15:15:54,US,10.686,g,,,,,
36,2024/7/24,15:15:54,US,10.691,g,,,,,
37,2024/7/24,15:15:56,US,10.657,g,,,,,
38,2024/7/24,15:15:57,US,10.695,g,,,,,
39,2024/7/24,15:15:58,US,10.776,g,,,,,
40,2024/7/24,15:15:58,US,10.756,g,,,,,
41,2024/7/24,15:16:00,US,10.761,g,,,,,
42,2024/7/24,15:16:01,ST,10.764,g,,,,,
43,2024/7/24,15:16:02,US,0.366,g,,,,,
44,2024/7/24,15:16:03,US,-118.121,g,,,,,
45,2024/7/24,15:16:04,US,14.993,g,,,,,
46,2024/7/24,15:16:05,US,10.808,g,,,,,
47,2024/7/24,15:16:06,US,10.815,g,,,,,
48,2024/7/24,15:16:07,US,10.812,g,,,,,
49,2024/7/24,15:16:07,US,10.834,g,,,,,
50,2024/7/24,15:16:09,US,-118.117,g,,,,,
51,2024/7/24,15:16:10,US,13.12,g,,,,,
52,2024/7/24,15:16:11,US,10.832,g,,,,,
53,2024/7/24,15:16:12,US,10.846,g,,,,,
54,2024/7/24,15:16:12,US,10.84,g,,,,,
55,2024/7/24,15:16:14,US,10.863,g,,,,,
56,2024/7/24,15:16:15,US,5.943,g,,,,,
57,2024/7/24,15:16:16,US,-118.13,g,,,,,
58,2024/7/24,15:16:17,US,27.5,g,,,,,
59,2024/7/24,15:16:18,US,10.888,g,,,,,
60,2024/7/24,15:16:19,ST,10.887,g,,,,,
61,2024/7/24,15:16:20,US,10.862,g,,,,,
62,2024/7/24,15:16:21,US,10.886,g,,,,,
63,2024/7/24,15:16:22,US,10.888,g,,,,,
64,2024/7/24,15:16:23,US,10.887,g,,,,,
65,2024/7/24,15:16:24,US,4.76,g,,,,,
66,2024/7/24,15:16:25,US,-118.115,g,,,,,
67,2024/7/24,15:16:26,US,11.208,g,,,,,
68,2024/7/24,15:16:27,US,10.93,g,,,,,
69,2024/7/24,15:16:28,US,10.911,g,,,,,
70,2024/7/24,15:16:29,US,10.917,g,,,,,
71,2024/7/24,15:16:30,US,10.952,g,,,,,
72,2024/7/24,15:16:31,US,10.921,g,,,,,
73,2024/7/24,15:16:32,US,10.925,g,,,,,
74,2024/7/24,15:16:33,US,2.882,g,,,,,
75,2024/7/24,15:16:34,US,-118.14,g,,,,,
76,2024/7/24,15:16:35,US,7.37,g,,,,,
77,2024/7/24,15:16:36,US,10.983,g,,,,,
78,2024/7/24,15:16:37,US,10.992,g,,,,,
79,2024/7/24,15:16:38,US,10.984,g,,,,,
80,2024/7/24,15:16:39,US,11.033,g,,,,,
81,2024/7/24,15:16:40,US,-116.529,g,,,,,
82,2024/7/24,15:16:41,US,-24.416,g,,,,,
83,2024/7/24,15:16:42,US,11.022,g,,,,,
84,2024/7/24,15:16:43,US,11.028,g,,,,,
85,2024/7/24,15:16:44,US,11.011,g,,,,,
86,2024/7/24,15:16:45,US,10.538,g,,,,,
87,2024/7/24,15:16:46,US,-118.159,g,,,,,
88,2024/7/24,15:16:47,US,12.885,g,,,,,
89,2024/7/24,15:16:48,US,11.078,g,,,,,
90,2024/7/24,15:16:49,US,11.032,g,,,,,
91,2024/7/24,15:16:50,US,11.058,g,,,,,
92,2024/7/24,15:16:51,US,11.07,g,,,,,
93,2024/7/24,15:16:52,US,11.233,g,,,,,
94,2024/7/24,15:16:53,US,11.819,g,,,,,
95,2024/7/24,15:16:53,US,11.884,g,,,,,
96,2024/7/24,15:16:55,US,-116.383,g,,,,,
97,2024/7/24,15:16:56,US,-118.193,g,,,,,
98,2024/7/24,15:16:57,US,-118.132,g,,,,,
99,2024/7/24,15:16:58,US,-54.256,g,,,,,
100,2024/7/24,15:16:59,US,11.907,g,,,,,
101,2024/7/24,15:17:00,US,11.92,g,,,,,
102,2024/7/24,15:17:01,US,11.914,g,,,,,
103,2024/7/24,15:17:02,US,11.909,g,,,,,
104,2024/7/24,15:17:03,US,11.94,g,,,,,
105,2024/7/24,15:17:04,US,-115.87,g,,,,,
106,2024/7/24,15:17:05,US,-118.15,g,,,,,
107,2024/7/24,15:17:06,US,-16.148,g,,,,,
108,2024/7/24,15:17:07,US,11.942,g,,,,,
109,2024/7/24,15:17:08,US,11.976,g,,,,,
110,2024/7/24,15:17:09,US,11.965,g,,,,,
111,2024/7/24,15:17:10,US,11.977,g,,,,,
112,2024/7/24,15:17:11,US,11.914,g,,,,,
113,2024/7/24,15:17:12,US,11.942,g,,,,,
114,2024/7/24,15:17:13,US,11.955,g,,,,,
115,2024/7/24,15:17:14,US,11.946,g,,,,,
116,2024/7/24,15:17:15,US,11.969,g,,,,,
117,2024/7/24,15:17:16,US,-90.617,g,,,,,
118,2024/7/24,15:17:17,US,-118.123,g,,,,,
119,2024/7/24,15:17:18,US,12.972,g,,,,,
120,2024/7/24,15:17:19,US,12.004,g,,,,,
121,2024/7/24,15:17:20,US,11.998,g,,,,,
122,2024/7/24,15:17:21,ST,11.991,g,,,,,
123,2024/7/24,15:17:22,US,12.008,g,,,,,
124,2024/7/24,15:17:23,US,12.039,g,,,,,
125,2024/7/24,15:17:24,US,-109.118,g,,,,,
126,2024/7/24,15:17:25,US,-118.124,g,,,,,
127,2024/7/24,15:17:25,US,-33.832,g,,,,,
128,2024/7/24,15:17:27,US,12.053,g,,,,,
129,2024/7/24,15:17:28,US,12.067,g,,,,,
130,2024/7/24,15:17:29,ST,12.064,g,,,,,
131,2024/7/24,15:17:30,US,12.037,g,,,,,
132,2024/7/24,15:17:31,US,12.077,g,,,,,
133,2024/7/24,15:17:32,US,-117.527,g,,,,,
134,2024/7/24,15:17:33,US,-118.163,g,,,,,
135,2024/7/24,15:17:34,US,-118.147,g,,,,,
136,2024/7/24,15:17:35,US,-116.83,g,,,,,
137,2024/7/24,15:17:36,ST,-118.133,g,,,,,
138,2024/7/24,15:17:37,US,-118.144,g,,,,,
139,2024/7/24,15:17:38,US,-118.131,g,,,,,
140,2024/7/24,15:17:39,US,-118.13,g,,,,,
141,2024/7/24,15:17:40,US,-118.141,g,,,,,
142,2024/7/24,15:17:41,US,-118.124,g,,,,,
143,2024/7/24,15:17:42,US,-118.15,g,,,,,
144,2024/7/24,15:17:43,US,-118.129,g,,,,,
145,2024/7/24,15:17:44,US,-118.132,g,,,,,
146,2024/7/24,15:17:45,US,-16.551,g,,,,,
147,2024/7/24,15:17:46,US,12.091,g,,,,,
148,2024/7/24,15:17:47,ST,12.087,g,,,,,
149,2024/7/24,15:17:48,US,12.095,g,,,,,
150,2024/7/24,15:17:49,US,12.078,g,,,,,
151,2024/7/24,15:17:50,US,12.106,g,,,,,
152,2024/7/24,15:17:51,US,12.107,g,,,,,
153,2024/7/24,15:17:52,ST,12.103,g,,,,,
154,2024/7/24,15:17:53,US,12.088,g,,,,,
