No.,Date,Time,Header,Data,Unit
1,2024/12/6,16:30:15,ST,0.0,g
2,2024/12/6,16:30:16,US,0.403,g
3,2024/12/6,16:30:18,US,0.99,g
4,2024/12/6,16:30:19,US,1.466,g
5,2024/12/6,16:30:19,US,1.952,g
6,2024/12/6,16:30:20,US,2.423,g
7,2024/12/6,16:30:22,US,2.989,g
8,2024/12/6,16:30:23,US,3.457,g
9,2024/12/6,16:30:23,US,3.918,g
10,2024/12/6,16:30:24,US,4.38,g
11,2024/12/6,16:30:25,US,4.837,g
12,2024/12/6,16:30:27,US,5.38,g
13,2024/12/6,16:30:28,US,5.828,g
14,2024/12/6,16:30:28,US,6.27,g
15,2024/12/6,16:30:29,US,6.711,g
16,2024/12/6,16:30:31,US,7.233,g
17,2024/12/6,16:30:32,US,7.667,g
18,2024/12/6,16:30:32,US,8.092,g
19,2024/12/6,16:30:33,US,8.516,g
20,2024/12/6,16:30:34,US,8.936,g
21,2024/12/6,16:30:36,US,9.437,g
22,2024/12/6,16:30:37,US,9.849,g
23,2024/12/6,16:30:37,US,10.257,g
24,2024/12/6,16:30:38,US,10.66,g
25,2024/12/6,16:30:39,US,10.921,g
26,2024/12/6,16:30:40,US,11.398,g
27,2024/12/6,16:30:41,US,11.921,g
28,2024/12/6,16:30:42,US,12.182,g
29,2024/12/6,16:30:43,US,12.626,g
30,2024/12/6,16:30:45,US,13.029,g
31,2024/12/6,16:30:46,US,13.407,g
32,2024/12/6,16:30:46,US,13.693,g
33,2024/12/6,16:30:47,US,13.693,g
34,2024/12/6,16:30:49,ST,13.693,g
35,2024/12/6,16:30:50,ST,13.693,g
36,2024/12/6,16:30:51,ST,13.693,g
37,2024/12/6,16:30:51,US,13.693,g
38,2024/12/6,16:30:52,US,13.693,g
39,2024/12/6,16:30:54,ST,13.693,g
40,2024/12/6,16:30:55,ST,13.693,g
41,2024/12/6,16:30:55,ST,13.693,g
42,2024/12/6,16:30:56,US,13.717,g
43,2024/12/6,16:30:58,US,13.979,g
44,2024/12/6,16:30:59,US,14.198,g
45,2024/12/6,16:31:00,US,14.419,g
46,2024/12/6,16:31:00,US,14.632,g
47,2024/12/6,16:31:01,US,14.632,g
48,2024/12/6,16:31:03,US,14.632,g
49,2024/12/6,16:31:03,ST,14.632,g
50,2024/12/6,16:31:04,US,14.632,g
51,2024/12/6,16:31:05,ST,14.675,g
52,2024/12/6,16:31:07,ST,14.675,g
53,2024/12/6,16:31:08,ST,14.675,g
54,2024/12/6,16:31:09,US,14.682,g
55,2024/12/6,16:31:09,US,14.759,g
56,2024/12/6,16:31:10,US,14.834,g
57,2024/12/6,16:31:12,US,14.926,g
58,2024/12/6,16:31:13,US,15.003,g
59,2024/12/6,16:31:13,US,15.043,g
60,2024/12/6,16:31:14,US,15.043,g
61,2024/12/6,16:31:15,US,15.043,g
62,2024/12/6,16:31:17,ST,15.043,g
63,2024/12/6,16:31:18,ST,15.043,g
64,2024/12/6,16:31:18,ST,15.043,g
65,2024/12/6,16:31:19,ST,15.043,g
66,2024/12/6,16:31:20,ST,15.043,g
67,2024/12/6,16:31:22,US,15.043,g
68,2024/12/6,16:31:22,US,15.043,g
69,2024/12/6,16:31:24,US,15.043,g
