No.,Date,Time,Header,Data,Unit,,,,,
1,2024/7/24,15:11:13,ST,-0.01,g,,,,,
2,2024/7/24,15:11:15,US,-0.007,g,,,,,
3,2024/7/24,15:11:15,ST,-0.006,g,,,,,
4,2024/7/24,15:11:16,US,0.483,g,,,,,
5,2024/7/24,15:11:17,US,1.153,g,,,,,
6,2024/7/24,15:11:18,US,1.839,g,,,,,
7,2024/7/24,15:11:20,US,2.614,g,,,,,
8,2024/7/24,15:11:21,US,3.266,g,,,,,
9,2024/7/24,15:11:21,US,3.906,g,,,,,
10,2024/7/24,15:11:22,US,4.58,g,,,,,
11,2024/7/24,15:11:23,US,5.233,g,,,,,
12,2024/7/24,15:11:25,US,5.988,g,,,,,
13,2024/7/24,15:11:25,US,6.587,g,,,,,
14,2024/7/24,15:11:26,US,7.196,g,,,,,
15,2024/7/24,15:11:27,US,7.799,g,,,,,
16,2024/7/24,15:11:29,US,8.519,g,,,,,
17,2024/7/24,15:11:30,US,9.109,g,,,,,
18,2024/7/24,15:11:30,US,9.679,g,,,,,
19,2024/7/24,15:11:31,US,10.236,g,,,,,
20,2024/7/24,15:11:32,US,10.418,g,,,,,
21,2024/7/24,15:11:34,US,-14.024,g,,,,,
22,2024/7/24,15:11:35,US,-120.701,g,,,,,
23,2024/7/24,15:11:35,US,35.609,g,,,,,
24,2024/7/24,15:11:36,US,10.418,g,,,,,
25,2024/7/24,15:11:38,US,10.403,g,,,,,
26,2024/7/24,15:11:39,US,10.433,g,,,,,
27,2024/7/24,15:11:39,US,10.828,g,,,,,
28,2024/7/24,15:11:40,US,-90.067,g,,,,,
29,2024/7/24,15:11:41,US,-120.691,g,,,,,
30,2024/7/24,15:11:43,US,-120.696,g,,,,,
31,2024/7/24,15:11:43,US,22.834,g,,,,,
32,2024/7/24,15:11:44,US,10.821,g,,,,,
33,2024/7/24,15:11:45,ST,10.828,g,,,,,
34,2024/7/24,15:11:47,US,10.838,g,,,,,
35,2024/7/24,15:11:48,ST,10.843,g,,,,,
36,2024/7/24,15:11:48,US,10.829,g,,,,,
37,2024/7/24,15:11:49,US,10.837,g,,,,,
38,2024/7/24,15:11:50,US,10.849,g,,,,,
39,2024/7/24,15:11:52,US,10.87,g,,,,,
40,2024/7/24,15:11:53,US,-90.491,g,,,,,
41,2024/7/24,15:11:53,US,-113.914,g,,,,,
42,2024/7/24,15:11:54,US,10.896,g,,,,,
43,2024/7/24,15:11:55,US,10.851,g,,,,,
44,2024/7/24,15:11:57,US,10.878,g,,,,,
45,2024/7/24,15:11:57,US,10.948,g,,,,,
46,2024/7/24,15:11:58,US,-92.656,g,,,,,
47,2024/7/24,15:11:59,US,-120.689,g,,,,,
48,2024/7/24,15:12:01,US,13.069,g,,,,,
49,2024/7/24,15:12:02,US,10.959,g,,,,,
50,2024/7/24,15:12:02,US,10.958,g,,,,,
51,2024/7/24,15:12:03,ST,10.966,g,,,,,
52,2024/7/24,15:12:04,US,11.011,g,,,,,
53,2024/7/24,15:12:06,US,-120.664,g,,,,,
54,2024/7/24,15:12:07,US,-91.899,g,,,,,
55,2024/7/24,15:12:07,US,11.018,g,,,,,
56,2024/7/24,15:12:08,US,10.982,g,,,,,
57,2024/7/24,15:12:10,US,11.028,g,,,,,
58,2024/7/24,15:12:11,US,-83.064,g,,,,,
59,2024/7/24,15:12:11,US,-120.618,g,,,,,
60,2024/7/24,15:12:12,US,11.111,g,,,,,
61,2024/7/24,15:12:13,US,11.116,g,,,,,
62,2024/7/24,15:12:15,US,11.108,g,,,,,
63,2024/7/24,15:12:16,US,11.096,g,,,,,
64,2024/7/24,15:12:16,US,11.093,g,,,,,
65,2024/7/24,15:12:17,US,11.221,g,,,,,
66,2024/7/24,15:12:19,US,3.405,g,,,,,
67,2024/7/24,15:12:20,US,-120.687,g,,,,,
68,2024/7/24,15:12:20,US,-102.389,g,,,,,
69,2024/7/24,15:12:21,US,11.412,g,,,,,
70,2024/7/24,15:12:22,US,11.579,g,,,,,
71,2024/7/24,15:12:24,US,-23.088,g,,,,,
