No.,Date,Time,Header,Data,Unit
1,2024/12/6,15:34:22,ST,0.0,g
2,2024/12/6,15:34:23,US,0.484,g
3,2024/12/6,15:34:24,US,1.136,g
4,2024/12/6,15:34:25,US,1.447,g
5,2024/12/6,15:34:26,US,1.447,g
6,2024/12/6,15:34:27,US,1.447,g
7,2024/12/6,15:34:28,US,1.447,g
8,2024/12/6,15:34:29,ST,1.447,g
9,2024/12/6,15:34:30,US,1.935,g
10,2024/12/6,15:34:31,US,2.546,g
11,2024/12/6,15:34:32,US,2.546,g
12,2024/12/6,15:34:33,US,2.546,g
13,2024/12/6,15:34:34,US,2.546,g
14,2024/12/6,15:34:35,US,2.546,g
15,2024/12/6,15:34:36,US,2.546,g
16,2024/12/6,15:34:37,US,3.164,g
17,2024/12/6,15:34:38,US,3.164,g
18,2024/12/6,15:34:39,US,3.164,g
19,2024/12/6,15:34:40,US,3.164,g
20,2024/12/6,15:34:41,US,3.164,g
21,2024/12/6,15:34:42,US,3.164,g
22,2024/12/6,15:34:43,US,3.332,g
23,2024/12/6,15:34:44,US,3.332,g
24,2024/12/6,15:34:45,US,3.332,g
25,2024/12/6,15:34:46,ST,3.332,g
26,2024/12/6,15:34:47,US,3.642,g
27,2024/12/6,15:34:48,US,3.642,g
28,2024/12/6,15:34:49,US,3.642,g
29,2024/12/6,15:34:50,US,3.642,g
30,2024/12/6,15:34:51,ST,3.642,g
31,2024/12/6,15:34:52,US,3.99,g
32,2024/12/6,15:34:53,US,3.99,g
33,2024/12/6,15:34:54,US,3.99,g
34,2024/12/6,15:34:55,US,3.99,g
35,2024/12/6,15:34:56,US,3.99,g
36,2024/12/6,15:34:57,US,4.23,g
37,2024/12/6,15:34:58,US,4.23,g
38,2024/12/6,15:34:59,US,4.23,g
39,2024/12/6,15:35:00,US,4.23,g
40,2024/12/6,15:35:01,US,4.23,g
41,2024/12/6,15:35:02,US,4.436,g
42,2024/12/6,15:35:03,US,4.436,g
43,2024/12/6,15:35:04,US,4.436,g
44,2024/12/6,15:35:05,US,4.436,g
45,2024/12/6,15:35:06,ST,4.469,g
46,2024/12/6,15:35:07,US,4.481,g
47,2024/12/6,15:35:08,US,4.735,g
48,2024/12/6,15:35:09,US,4.735,g
49,2024/12/6,15:35:10,US,4.735,g
50,2024/12/6,15:35:11,US,4.735,g
51,2024/12/6,15:35:12,ST,4.743,g
