No.,Date,Time,Header,Data,Unit
1,2024/12/6,16:36:48,ST,0.0,g
2,2024/12/6,16:36:49,US,0.333,g
3,2024/12/6,16:36:50,US,1.076,g
4,2024/12/6,16:36:51,US,1.787,g
5,2024/12/6,16:36:52,US,2.492,g
6,2024/12/6,16:36:53,US,3.329,g
7,2024/12/6,16:36:54,US,4.016,g
8,2024/12/6,16:36:55,US,4.695,g
9,2024/12/6,16:36:56,US,5.367,g
10,2024/12/6,16:36:57,US,6.029,g
11,2024/12/6,16:36:58,US,6.812,g
12,2024/12/6,16:36:59,US,7.454,g
13,2024/12/6,16:37:00,US,8.093,g
14,2024/12/6,16:37:01,US,8.721,g
15,2024/12/6,16:37:02,US,9.458,g
16,2024/12/6,16:37:03,US,10.07,g
17,2024/12/6,16:37:04,US,10.67,g
18,2024/12/6,16:37:05,US,11.263,g
19,2024/12/6,16:37:06,US,11.845,g
20,2024/12/6,16:37:07,US,12.538,g
21,2024/12/6,16:37:08,US,13.096,g
22,2024/12/6,16:37:09,US,13.659,g
23,2024/12/6,16:37:10,US,14.214,g
24,2024/12/6,16:37:11,US,14.332,g
25,2024/12/6,16:37:12,ST,14.329,g
26,2024/12/6,16:37:13,US,14.667,g
27,2024/12/6,16:37:14,US,14.68,g
28,2024/12/6,16:37:15,US,-120.391,g
29,2024/12/6,16:37:16,ST,-120.388,g
30,2024/12/6,16:37:17,ST,-120.386,g
31,2024/12/6,16:37:18,US,-108.301,g
32,2024/12/6,16:37:19,US,14.681,g
33,2024/12/6,16:37:20,ST,14.68,g
34,2024/12/6,16:37:21,ST,14.679,g
35,2024/12/6,16:37:22,ST,14.678,g
36,2024/12/6,16:37:23,US,14.723,g
37,2024/12/6,16:37:24,US,-48.443,g
38,2024/12/6,16:37:25,US,-120.389,g
39,2024/12/6,16:37:26,US,6.549,g
40,2024/12/6,16:37:27,ST,14.742,g
41,2024/12/6,16:37:28,ST,14.74,g
42,2024/12/6,16:37:29,US,14.75,g
43,2024/12/6,16:37:30,US,10.73,g
44,2024/12/6,16:37:31,US,-120.388,g
45,2024/12/6,16:37:32,ST,-120.387,g
46,2024/12/6,16:37:33,US,-69.62,g
47,2024/12/6,16:37:34,US,14.843,g
48,2024/12/6,16:37:35,ST,14.843,g
49,2024/12/6,16:37:36,ST,14.843,g
50,2024/12/6,16:37:37,ST,14.843,g
51,2024/12/6,16:37:38,ST,14.843,g
52,2024/12/6,16:37:39,ST,14.843,g
53,2024/12/6,16:37:40,US,8.393,g
54,2024/12/6,16:37:41,US,-120.388,g
55,2024/12/6,16:37:42,US,-113.333,g
56,2024/12/6,16:37:43,US,14.896,g
57,2024/12/6,16:37:44,ST,14.895,g
58,2024/12/6,16:37:45,ST,14.895,g
59,2024/12/6,16:37:46,ST,14.895,g
60,2024/12/6,16:37:47,US,14.926,g
61,2024/12/6,16:37:48,US,-120.211,g
62,2024/12/6,16:37:49,ST,-120.386,g
63,2024/12/6,16:37:50,US,14.917,g
64,2024/12/6,16:37:51,ST,14.949,g
65,2024/12/6,16:37:52,ST,14.947,g
66,2024/12/6,16:37:53,ST,14.947,g
67,2024/12/6,16:37:54,US,14.991,g
68,2024/12/6,16:37:55,US,-120.387,g
69,2024/12/6,16:37:56,ST,-120.386,g
70,2024/12/6,16:37:57,US,14.97,g
71,2024/12/6,16:37:58,ST,14.999,g
72,2024/12/6,16:37:59,ST,14.998,g
73,2024/12/6,16:38:00,ST,14.997,g
74,2024/12/6,16:38:01,ST,14.997,g
75,2024/12/6,16:38:02,ST,14.996,g
76,2024/12/6,16:38:03,US,14.94,g
77,2024/12/6,16:38:04,US,-120.394,g
78,2024/12/6,16:38:05,ST,-120.388,g
79,2024/12/6,16:38:06,US,-120.252,g
80,2024/12/6,16:38:07,ST,-120.384,g
81,2024/12/6,16:38:08,ST,-120.384,g
82,2024/12/6,16:38:09,ST,-120.384,g
83,2024/12/6,16:38:10,ST,-120.384,g
84,2024/12/6,16:38:11,ST,-120.384,g
85,2024/12/6,16:38:12,US,0.098,g
86,2024/12/6,16:38:13,ST,15.044,g
87,2024/12/6,16:38:14,ST,15.043,g
88,2024/12/6,16:38:15,ST,15.044,g
89,2024/12/6,16:38:16,ST,15.044,g
90,2024/12/6,16:38:17,ST,15.044,g
91,2024/12/6,16:38:18,ST,15.043,g
92,2024/12/6,16:38:19,ST,15.043,g
93,2024/12/6,16:38:20,US,15.054,g
94,2024/12/6,16:38:21,US,15.04,g
95,2024/12/6,16:38:22,ST,15.041,g
96,2024/12/6,16:38:23,ST,15.042,g
97,2024/12/6,16:38:24,US,-119.863,g
98,2024/12/6,16:38:25,ST,-120.383,g
99,2024/12/6,16:38:26,ST,-120.385,g
100,2024/12/6,16:38:27,ST,-120.385,g
101,2024/12/6,16:38:28,ST,-120.386,g
102,2024/12/6,16:38:29,ST,-120.386,g
103,2024/12/6,16:38:30,ST,-120.386,g
104,2024/12/6,16:38:31,ST,-120.385,g
105,2024/12/6,16:38:32,US,15.333,g
