No.,Date,Time,Header,Data,Unit
1,2024/10/23,19:25:21,ST,0.0,g
6,2024/10/23,19:25:26,US,0.107,g
7,2024/10/23,19:25:27,US,0.757,g
8,2024/10/23,19:25:28,US,1.357,g
9,2024/10/23,19:25:29,US,1.694,g
10,2024/10/23,19:25:30,ST,1.694,g
11,2024/10/23,19:25:31,US,1.694,g
12,2024/10/23,19:25:32,US,1.694,g
13,2024/10/23,19:25:33,ST,1.694,g
14,2024/10/23,19:25:34,ST,1.694,g
15,2024/10/23,19:25:35,US,1.694,g
16,2024/10/23,19:25:36,ST,1.694,g
17,2024/10/23,19:25:37,US,1.694,g
18,2024/10/23,19:25:38,US,1.694,g
19,2024/10/23,19:25:39,ST,1.694,g
20,2024/10/23,19:25:40,ST,1.694,g
21,2024/10/23,19:25:41,US,2.181,g
22,2024/10/23,19:25:42,US,2.777,g
23,2024/10/23,19:25:43,US,2.834,g
24,2024/10/23,19:25:44,US,2.834,g
25,2024/10/23,19:25:45,US,2.834,g
26,2024/10/23,19:25:46,US,2.834,g
27,2024/10/23,19:25:47,US,2.834,g
28,2024/10/23,19:25:48,US,2.834,g
29,2024/10/23,19:25:49,US,2.933,g
30,2024/10/23,19:25:50,US,3.618,g
31,2024/10/23,19:25:51,US,3.662,g
32,2024/10/23,19:25:52,US,3.662,g
33,2024/10/23,19:25:53,US,3.662,g
34,2024/10/23,19:25:54,US,3.662,g
35,2024/10/23,19:25:55,US,3.662,g
36,2024/10/23,19:25:56,ST,3.765,g
37,2024/10/23,19:25:57,US,3.858,g
38,2024/10/23,19:25:58,US,4.184,g
39,2024/10/23,19:25:59,US,4.446,g
40,2024/10/23,19:26:00,US,4.553,g
41,2024/10/23,19:26:01,US,4.553,g
42,2024/10/23,19:26:02,US,4.553,g
43,2024/10/23,19:26:03,ST,4.553,g
44,2024/10/23,19:26:04,ST,4.553,g
45,2024/10/23,19:26:05,US,4.553,g
46,2024/10/23,19:26:06,US,4.553,g
47,2024/10/23,19:26:07,US,4.553,g
48,2024/10/23,19:26:08,US,5.26,g
49,2024/10/23,19:26:09,US,5.441,g
50,2024/10/23,19:26:10,US,5.441,g
51,2024/10/23,19:26:11,US,5.441,g
52,2024/10/23,19:26:12,ST,5.441,g
53,2024/10/23,19:26:13,US,5.441,g
54,2024/10/23,19:26:14,US,5.441,g
55,2024/10/23,19:26:15,US,5.441,g
56,2024/10/23,19:26:16,US,6.042,g
57,2024/10/23,19:26:17,ST,6.042,g
58,2024/10/23,19:26:18,US,6.042,g
59,2024/10/23,19:26:19,ST,6.042,g
60,2024/10/23,19:26:20,ST,6.042,g
61,2024/10/23,19:26:21,ST,6.042,g
62,2024/10/23,19:26:22,US,6.042,g
63,2024/10/23,19:26:23,US,6.042,g
64,2024/10/23,19:26:24,US,6.042,g
65,2024/10/23,19:26:25,US,6.719,g
66,2024/10/23,19:26:26,US,6.776,g
67,2024/10/23,19:26:27,US,6.776,g
68,2024/10/23,19:26:28,ST,6.776,g
69,2024/10/23,19:26:29,ST,6.776,g
70,2024/10/23,19:26:30,US,6.776,g
71,2024/10/23,19:26:31,US,6.776,g
72,2024/10/23,19:26:32,US,6.777,g
73,2024/10/23,19:26:33,US,7.514,g
74,2024/10/23,19:26:34,US,7.514,g
75,2024/10/23,19:26:35,US,7.514,g
76,2024/10/23,19:26:36,ST,7.514,g
77,2024/10/23,19:26:37,ST,7.514,g
78,2024/10/23,19:26:38,US,7.514,g
79,2024/10/23,19:26:39,US,7.514,g
80,2024/10/23,19:26:40,US,8.003,g
81,2024/10/23,19:26:41,US,8.003,g
82,2024/10/23,19:26:42,US,8.003,g
83,2024/10/23,19:26:43,ST,8.003,g
84,2024/10/23,19:26:44,US,8.003,g
85,2024/10/23,19:26:45,US,8.003,g
86,2024/10/23,19:26:46,ST,8.003,g
87,2024/10/23,19:26:47,ST,8.003,g
88,2024/10/23,19:26:48,US,8.134,g
89,2024/10/23,19:26:49,US,8.134,g
90,2024/10/23,19:26:50,US,8.134,g
91,2024/10/23,19:26:51,US,8.134,g
92,2024/10/23,19:26:52,US,8.134,g
93,2024/10/23,19:26:53,US,8.134,g
94,2024/10/23,19:26:54,US,8.188,g
95,2024/10/23,19:26:55,US,8.467,g
96,2024/10/23,19:26:56,US,8.467,g
97,2024/10/23,19:26:57,US,8.467,g
98,2024/10/23,19:26:58,ST,8.467,g
99,2024/10/23,19:26:59,ST,8.467,g
100,2024/10/23,19:27:00,ST,8.467,g
101,2024/10/23,19:27:01,ST,8.467,g
102,2024/10/23,19:27:02,ST,8.467,g
103,2024/10/23,19:27:03,US,8.467,g
104,2024/10/23,19:27:04,US,8.515,g
105,2024/10/23,19:27:05,ST,8.515,g
106,2024/10/23,19:27:06,ST,8.515,g
107,2024/10/23,19:27:07,US,8.533,g
108,2024/10/23,19:27:08,US,8.57,g
109,2024/10/23,19:27:09,US,8.57,g
110,2024/10/23,19:27:10,US,8.57,g
111,2024/10/23,19:27:11,ST,8.57,g
112,2024/10/23,19:27:12,ST,8.57,g
113,2024/10/23,19:27:13,ST,8.57,g
114,2024/10/23,19:27:14,US,8.57,g
115,2024/10/23,19:27:15,US,8.57,g
116,2024/10/23,19:27:16,ST,8.57,g
117,2024/10/23,19:27:17,US,8.594,g
118,2024/10/23,19:27:18,US,8.645,g
119,2024/10/23,19:27:19,US,8.645,g
120,2024/10/23,19:27:20,US,8.645,g
121,2024/10/23,19:27:21,ST,8.645,g
122,2024/10/23,19:27:22,ST,8.645,g
123,2024/10/23,19:27:23,ST,8.645,g
124,2024/10/23,19:27:24,US,8.645,g
125,2024/10/23,19:27:25,US,8.645,g
126,2024/10/23,19:27:26,ST,8.659,g
127,2024/10/23,19:27:27,US,8.902,g
128,2024/10/23,19:27:28,ST,8.902,g
129,2024/10/23,19:27:29,US,8.902,g
130,2024/10/23,19:27:30,ST,8.902,g
131,2024/10/23,19:27:31,ST,8.902,g
132,2024/10/23,19:27:32,US,8.902,g
133,2024/10/23,19:27:33,US,8.902,g
134,2024/10/23,19:27:34,US,8.929,g
